5.4926,0.39454,0.35812,5.4174,0.16422
6.8527,1.3525,0.29247,6.6156,0.43243
8.2129,3.5814,1.0588,7.6643,0.29542
9.573,4.0708,0.88817,7.7723,0.34739
10.933,4.9736,0.55653,9.5349,1.4177
12.293,5.9806,1.0969,11.429,0.69209
13.654,6.129,0.99389,11.895,1.4594
15.014,7.0803,0.93453,14.884,0.4246
16.374,7.9848,1.3133,14.686,2.1535
17.734,8.8891,0.61006,16.842,0.56847
19.094,9.15,0.29602,16.926,0.71431
20.454,9.8533,1.1641,17.856,2.3251
21.814,9.7629,1.0129,18.177,2.8806
23.175,9.7629,1.0129,18.177,2.8806
24.535,11.622,1.3841,21.878,0.63104
25.895,12.016,1.1681,23.446,2.4723
27.255,12.04,1.1666,23.572,2.6858
28.615,12.862,0.53794,28.272,1.0594
29.975,13.693,0.57094,30.251,1.0351
31.336,14.534,0.96505,31.113,1.0988
5.4926,0.39454,0.35812,5.4174,0.16422
6.8527,1.3525,0.29247,6.6156,0.43243
8.2129,3.5814,1.0588,7.6643,0.29542
9.573,4.0708,0.88817,7.7723,0.34739
10.933,4.9736,0.55653,9.5349,1.4177
12.293,5.9806,1.0969,11.429,0.69209
13.654,6.129,0.99389,11.895,1.4594
15.014,7.0803,0.93453,14.884,0.4246
16.374,7.9848,1.3133,14.686,2.1535
17.734,8.8891,0.61006,16.842,0.56847
19.094,9.15,0.29602,16.926,0.71431
20.454,9.8533,1.1641,17.856,2.3251
21.814,9.7629,1.0129,18.177,2.8806
23.175,9.7629,1.0129,18.177,2.8806
24.535,11.622,1.3841,21.878,0.63104
25.895,12.016,1.1681,23.446,2.4723
27.255,12.04,1.1666,23.572,2.6858
28.615,12.862,0.53794,28.272,1.0594
29.975,13.693,0.57094,30.251,1.0351
31.336,14.534,0.96505,31.113,1.0988
