5.4926,0.36184,0.78583,-0.38219,0.75997,0.1298,0.47591,0.028158,0.83754,-0.28665,0.71393,-0.059088,0.75755
6.8527,0.10875,1.4685,-1.5483,1.1048,0.28724,0.67344,0.34596,1.4385,-1.0591,1.1924,-0.19707,1.4069
8.2129,-0.0010582,1.6629,-2.0202,1.0939,0.57521,0.79999,0.26634,1.4831,-1.2603,1.4039,-0.41041,1.5296
9.573,0.29093,1.6456,-2.3802,1.1617,0.58294,0.84212,0.32395,1.7113,-1.4269,1.3666,0.024199,1.6565
10.933,0.49334,1.6444,-2.6072,1.1322,0.66888,0.89789,0.18281,1.7162,-1.4712,1.5703,0.2266,1.6358
12.293,0.46248,1.7037,-2.8988,1.1634,0.70833,0.89208,0.075316,1.8951,-1.2679,1.5805,0.25658,1.5919
13.654,0.56362,1.7578,-3.1954,1.1171,0.69657,0.91625,0.0099503,1.7005,-1.0595,1.6555,0.3249,1.5803
15.014,0.67461,1.7394,-3.4565,1.0761,0.64705,0.8987,-0.022616,1.8721,-0.82992,1.7713,0.14024,1.5486
16.374,0.89467,1.8124,-3.4859,1.1011,0.47633,0.94567,-0.049967,1.9475,-0.43213,1.8087,0.16198,1.6148
17.734,0.88389,1.9175,-3.5358,1.1733,0.38608,0.98652,-0.21065,2.0265,-0.065063,1.7021,0.051999,1.5614
19.094,1.197,2.0766,-3.3632,1.5367,0.46631,1.1659,-0.40643,2.1409,0.10818,1.5562,0.15059,1.5233
20.454,1.694,2.1762,-3.0648,1.7883,0.72353,1.4388,-0.83966,2.2789,0.13252,1.5248,0.15551,1.6122
21.814,1.9499,2.204,-2.7776,2.0601,1.0519,1.6448,-0.88221,2.4017,0.11766,1.4823,0.27414,1.8782
23.175,2.2082,2.2139,-2.6366,2.1884,1.3046,1.7639,-1.0928,2.3203,0.15069,1.4684,0.033011,1.9293
24.535,2.4597,2.2677,-2.4601,2.2278,1.4586,1.8583,-1.3168,2.3132,0.36492,1.432,-0.13551,2.1341
25.895,2.8402,2.1362,-2.1371,2.3171,1.6955,2.0266,-1.5685,2.1206,0.60624,1.4499,-0.18764,2.3054
27.255,3.2502,1.8249,-1.9523,2.2614,1.6574,2.1424,-1.5969,2.0517,1.0139,1.6042,-0.12111,2.4094
28.615,3.4134,1.7269,-1.8572,2.2551,1.5848,2.0811,-1.1045,2.0572,1.4577,1.6528,-0.054036,2.5297
29.975,3.6516,1.4247,-1.5265,2.2712,1.9957,2.0577,-0.98426,2.0449,1.9878,1.6762,-0.069886,2.6489
31.336,3.8911,1.1357,-1.0715,2.1804,2.2343,1.9127,-0.5956,2.1494,2.6357,1.6075,-0.1335,2.6956
