52, 34.2000, 38.0464, 2, 404.1138, -993.5578,-436.0254, 89.3312, -130.9880, 112.8831 
61, 36.0000, 29.4570, 2, 237.8109, -809.2850,-312.9774, -220.5586, -281.7294, 676.0077 
79, 39.6000, 33.1941, 2, 547.2225, -958.2982,664.7705, -742.9127, 715.0940, -993.5991 
43, 32.4000, 36.1378, 2, 92.0407, -926.1581,137.0434, 618.7175, -169.9332, -468.8839 
25, 28.8000, 31.8869, 2, 257.4638, -449.5044,-385.3481, -279.8795, 161.7747, 57.6002 
7, 25.2000, 24.8541, 2, -470.0525, -662.8073,-241.0226, -275.5764, 210.1435, 666.9185 
16, 27.0000, 19.7782, 2, 34.6470, -267.1294,121.8796, -493.9341, -861.2196, 816.8161 
34, 30.6000, 28.3756, 2, 352.1112, -464.8337,-691.3040, -805.6002, 822.7018, -339.8723 
139, 51.6000, 37.3964, 1, 434.9037, -707.2748,-237.5167, 45.7471, 716.0679, -313.9009 
69, 37.6000, 38.1811, 2, 995.9254, -732.2791,-836.3279, -834.7232, 313.4085, -750.4408 
112, 46.2000, 34.9509, 1, 944.6892, -541.2313,-5.5325, 158.2326, 633.6013, -964.6848 
145, 52.8000, 35.8664, 1, 178.9726, -537.4673,-264.0716, 721.1189, 558.1187, -173.4630 
119, 47.6000, 34.8386, 1, 748.8822, -957.0471,-237.5200, -817.6096, 61.3175, -551.7402 
133, 50.4000, 36.5324, 1, 765.1867, -666.1448,-159.9413, -242.5634, 673.9735, 309.6592 
96, 43.0000, 36.9865, 1, 619.5646, -768.4154,-26.3979, 541.9529, -451.4943, -4.0047 
151, 54.0000, 36.7699, 1, 164.9148, -788.0467,-226.8883, 543.7649, -44.6351, -118.7136 
126, 49.0000, 38.8887, 1, 838.3919, -933.3151,-922.5022, -390.6774, 286.3199, -582.5635 
156, 55.0000, 33.5010, 1, 5.1785, -931.1372,262.8096, 317.0005, 710.3017, -353.6235 
104, 44.6000, 33.2578, 1, 709.6995, -324.0509,275.7961, 240.0993, 840.7074, -474.1915 
87, 41.2000, 36.7203, 2, 26.5662, -903.2012,-445.3885, -346.0725, 119.0991, -377.4058 
51, 34.0000, 32.7208, 2, 478.3606, -930.7289,-211.2390, 23.9230, -802.1978, -647.1955 
60, 35.8000, 33.6145, 2, 806.8269, -333.3162,-244.3448, -899.5448, 239.5449, 15.9590 
78, 39.4000, 37.4900, 2, 515.3024, -815.7814,-456.2708, 86.3656, 8.5933, -420.0257 
42, 32.2000, 35.8493, 2, -234.4462, -768.0241,-314.0910, -835.8626, 335.3177, -321.1705 
24, 28.6000, 34.6835, 2, 603.3597, -947.5891,-121.8463, -979.9337, 249.3670, 275.2046 
6, 25.0000, 8.5291, 2, -830.7866, 133.4055,589.9316, -75.5815, -562.4832, 883.6456 
15, 26.8000, 27.7531, 2, -577.8730, -979.6706,430.3076, -194.6357, 255.1456, 729.3269 
33, 30.4000, 34.9865, 2, -527.0145, -912.5140,-134.4098, -584.1161, 947.5555, 334.7255 
138, 51.4000, 36.2893, 1, 944.0913, -914.7630,-120.7173, 231.9603, -115.9655, 425.4063 
111, 46.0000, 35.1963, 1, 714.3304, -98.6233,-291.2218, 435.8375, 627.9020, 364.4863 
68, 37.4000, 34.9850, 2, 960.0397, -635.7544,-61.5604, -823.7707, 873.1298, -965.0829 
144, 52.6000, 35.8574, 1, 514.2548, -511.4432,-491.0643, 483.3148, 991.6039, 706.5489 
150, 53.8000, 35.9627, 1, 850.5301, -657.4819,-91.8422, -502.6281, 226.1479, -689.9453 
