5.4926,2.2017,0.22791,5.3743,0.06314,0.21406,0.51557,0.31956,0.069424,0.13209,0.055024,0.22688,0.18771,-0.16412,0.43667,-0.24421,0.2949
6.8527,2.8027,0.33484,6.4768,0.63644,-0.21757,0.39693,-1.5665,1.3629,0.14161,0.30075,-1.1841,0.79413,-1.7323,2.9426,-1.752,3.546
8.2129,5.0375,1.6668,7.8732,0.28382,0.73015,0.004674,-1.4375,0.34761,0.22404,0.92324,-0.77459,0.06434,0.16856,1.0229,-0.1518,0.19321
9.573,5.8747,0.48273,8.0001,0.10433,1.0554,0.45527,-1.4034,0.29932,0.6823,0.27516,-0.62763,0.14349,-0.73703,0.25779,-0.82239,1.1416
10.933,6.1108,0.81653,8.9407,1.4345,0.69487,0.96511,-1.5269,0.12459,0.79287,0.43153,-0.51406,0.017126,-0.19638,1.0224,-1.2261,0.57058
12.293,7.9218,0.86475,11.701,0.80049,-0.45448,1.9169,-4.01,0.63371,1.0205,0.67165,0.3937,6.1216,-2.5016,0.21949,1.7454,2.7826
13.654,7.6738,1.2154,12.322,1.6785,2.4643,2.2109,-2.6541,2.5513,-0.68858,1.7453,0.97855,5.2945,-1.4719,1.6758,2.2556,3.5042
15.014,9.0042,0.47077,14.663,0.76881,0.57964,1.6349,-4.1982,0.10925,0.2694,1.8405,0.1096,6.2579,1.3215,1.1416,0.2772,1.8354
16.374,9.7955,1.5899,15.781,0.81271,1.3988,0.47652,-4.3893,0.37957,-1.4644,0.61144,-1.0636,4.5987,2.3009,0.24353,0.78585,1.116
17.734,9.9837,1.3239,16.894,0.76205,0.99421,0.095594,-3.5307,1.5938,-0.70085,1.6912,-1.2555,4.8701,2.2508,0.31445,-2.205,3.1137
19.094,10.298,0.87892,17.021,0.94081,2.3559,1.8301,-4.7721,0.16172,-2.1577,0.36904,-0.60765,3.9539,0.3978,2.9349,-1.7911,2.5283
20.454,11.204,0.40178,18.347,2.8163,2.3862,1.8731,-2.2924,3.3451,0.25405,3.0416,-1.0085,4.5208,1.5314,1.3317,-1.6844,2.3774
21.814,11.032,0.15939,18.715,3.337,2.8139,2.4779,-1.255,4.8122,1.1626,4.3265,-1.3709,5.0333,1.4445,1.4546,2.1367,3.0264
23.175,11.032,0.15939,18.715,3.337,2.8139,2.4779,-1.255,4.8122,1.1626,4.3265,-1.3709,5.0333,1.4445,1.4546,2.1367,3.0264
24.535,12.282,1.6072,21.547,0.6674,4.5907,0.034719,2.3784,0.32605,4.5543,0.47016,-3.4209,2.1341,-0.39725,1.1501,1.8225,3.4708
25.895,12.282,1.6072,21.547,0.6674,4.5907,0.034719,2.3784,0.32605,4.5543,0.47016,-3.4209,2.1341,-0.39725,1.1501,1.8225,3.4708
